country,population,area,gini_index,happy_planet_index,hdi_index,world_happiness_score,sustainable_economic_development_assessment,gdp_billions,gdp_per_capita,gdp_growth_annual_pct,health_expenditure_pct_gdp,health_expenditure_per_person,education_expenditure_pct_gdp,education_expenditure_per_person,school_years,unemployment_pct,government_spending_score,government_expenditure_pct_gdp,political_rights_score,civil_liberties_score,political_stability,government_effectiveness,regulatory_quality,rule_of_law,control_of_corruption,judicial_effectiveness_score,government_integrity_score,property_rights_score,tax_burden_score,overall_economic_freedom_score,women_mps_pct
Benin,11000000,110622,36.5,13.4,0.515,4.8531808849999996,34.5,23.6,2119,5.2,3.9919010299999997,84,4.321129799,40.7779218044641,12,1,85.6,21.9,2,2,0.05,-0.64,-0.47000000000000003,-0.62,-0.55,31.3,30.2,35.5,67.4,56.7,7.2
Colombia,49000000,1038700,51.1,40.7,0.8430000000000001,6.157341956999998,49.1,688.8,14130,3.1,6.191327639999999,853,4.665160178999998,369.172289230511,14,9.9,74.4,29.2,3,3,-0.7899999999999999,-0.07,0.33999999999999997,-0.36,-0.37,36.4,33.4,60.7,80.3,68.9,18.7
Bangladesh,165000000,130170,32.1,38.4,0.608,4.309771061,35.30000000000001,628.4,3891,6.4,2.6394725199999995,88,4.74608957488,1002.8698532211091,10,4.1,94.2,13.9,4,4,-1.25,-0.74,-0.81,-0.6699999999999999,-0.8300000000000001,32.6,21.2,32.4,72.7,55.1,20.3
Sri Lanka,21000000,64630,39.2,33.80000000000001,0.77,4.330945492,49.3,176.1,4447,3.5,2.9660151599999995,353,1.932880044,73.84912617901323,14,13.3,95.3,12.5,3,4,-0.06,-0.15000000000000002,-0.13,0.06,-0.45,21.4,21.2,27.8,85.9,49.4,5.8
Vietnam,96000000,310070,34.80000000000001,40.30000000000001,0.6939999999999998,5.175278664,50.8,595.5,6429,6.7,5.652621559999999,334,4.74608957488,1002.8698532211091,13.711864406779661,2.2,74,29.4,7,5,0.31,0,-0.4,0.07,-0.5800000000000001,36.30000000000001,30.4,46.4,79.7,53.1,26.7
Moldova,3600000,32891,26.8,26.8575,0.7,5.325530528999997,48.7,18.9,5328,-1.1,10.17682846,515,7.4645099639999994,167.56061472713213,12,5,56.7,38,3,3,-0.24000000000000002,-0.51,-0.04,-0.41000000000000003,-0.8,26.3,26.6,53.5,85.3,58.4,22.8
Netherlands,17000000,33893,30.3,35.30000000000001,0.931,7.458965302,80.3,869.4,51049,1.9,10.690277899999998,5313,5.529310225999999,2883.944555880146,18,6.2,39.1,45,1,1,0.92,1.85,2.05,1.83,1.87,74.1,86,87.9,52.5,76.2,36
Lebanon,4600000,10230,38.196875,21.9,0.757,5.153989792,44.8,85.2,18525,1,7.43147196,1117,4.74608957488,1002.8698532211091,11,6.8,78.2,26.9,6,4,-1.59,-0.51,-0.31,-0.8200000000000001,0.54,33.6,20.2,39.7,91.9,53.2,3.1
Cote d'Ivoire,24000000,318003,41.5,14.4,0.7939999999999999,5.037734985,30.5,87.8,3609,8.6,5.435833180000001,190,4.577429771,71.86236425757781,9,9.3,84.6,22.6,4,4,-1.09,-0.74,-0.36,-0.63,-0.52,44.2,36.6,39.4,76.4,62,10.6
Senegal,16000000,192530,40.30000000000001,21.9,0.505,4.683024882999999,38.4,39.7,2577,6.5,8.97237559,97,7.401400089000001,77.87216438241225,9,9.5,72.7,30.2,2,2,-0.04,-0.32,-0.15000000000000002,-0.15000000000000002,-0.09,40.4,42.6,41.3,68.5,55.7,41.8
Slovakia,5000000,48105,23.7,28.2,0.8550000000000001,6.3655090329999995,67.4,170.1,31339,3.6,6.88594228,2062,4.230679989000001,788.1645102489052,15,10,44.3,43.1,1,1,0.88,0.81,0.8200000000000001,0.57,0.22,38.80000000000001,38.2,68.2,78.9,65.3,20
Ghana,29000000,227533,42.3,21.4,0.592,5.481310844,40.2,121.7,4412,3.5,5.90823662,249,6.159830093,89.29676639577796,12,5.8,79,26.5,1,2,0.09,-0.11,-0.14,0.13,-0.23,43.7,32.9,48.9,83.5,56,12.7
Turkmenistan,6000000,469930,40.80000000000001,14.6,0.706,5.229148865,52.08914728682171,95.5,17485,6.5,6.254806149999999,1004,4.74608957488,1002.8698532211091,11,8.6,92.2,16.1,7,7,-0.15000000000000002,-1.21,-2,-1.49,-1.48,5,27.3,29.8,95.9,47.1,25.8
Iraq,38000000,437367,38.196875,26.5,0.6849999999999999,4.462399006,37,647.2,17944,2.4,3.3970163099999997,481,4.74608957488,1002.8698532211091,13.711864406779661,16,45.4,42.7,5,6,-2.3299999999999996,-1.27,-1.2,-1.6400000000000001,-1.37,11.4,23.4,36.7,76.76641791044776,62.18721804511278,25.3
Malta,400000,316,28.1,29,0.8780000000000001,6.675665855,68.8,17.3,39834,6.3,9.61684153,3471,7.249639988000001,1874.1522324949967,15,5.3,51,40.4,1,1,1.27,1,1.28,1.1399999999999997,0.74,62.8,49.9,68.1,64.7,68.5,11.9
Mexico,129000000,1943945,48.2,40.7,0.774,6.410299301000001,49.1,2315.7,18938,2.5,5.864490369999999,1009,5.325860022999999,563.5297851284292,13,4,78.1,27,3,3,-0.65,-0.03,0.2,-0.57,-0.93,39,26.9,58.6,75.7,64.8,42.6
Brazil,209000000,8358140,49,34.30000000000001,0.759,6.332929134,51.6,3141.3,15242,-3.8,8.91148377,1392,5.948480129,715.4000086773417,15,11.5,50.7,40.5,2,2,-0.41000000000000003,-0.29000000000000004,-0.11,-0.2800000000000001,-0.53,55.5,31.4,55.8,70.6,51.4,10.7
Ukraine,45000000,579330,25.5,26.4,0.751,4.311067104000001,52.5,353,8305,-9.9,6.134495929999998,469,5.874939918999999,173.24682413289113,15,8.9,45,42.8,3,3,-1.8900000000000001,-0.46,-0.32,-0.71,-0.7799999999999999,29.5,29,41,80.2,51.9,12.3
